Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
2020-12-18 - Plate scFv1,Experiment,Group,,A1,Experiment,None,N/A,All Events,N/A,N/A,4508,100,45.080,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-18 - Plate scFv1,Experiment,Group,,A1,Experiment,None,,R1,FSC-A,SSC-A,4280,100,42.800,94.942,94.942,595803,16496,554822,13694,522055,11949,174364.01,8208.72,29.27,49.76,110034.86,5798.45,19.83,42.34
2020-12-18 - Plate scFv1,Experiment,Group,,A1,Experiment,None,,R2,BL1-A,,323,100,3.230,7.165,7.547,6976,N/A,3781,N/A,10678,N/A,8870.85,N/A,127.16,N/A,3773.22,N/A,99.79,N/A
2020-12-18 - Plate scFv1,Experiment,Group,,A1,Experiment,None,,R1,BL1-A,,4280,100,42.800,94.942,94.942,687,N/A,153,N/A,-19,N/A,3028.00,N/A,440.91,N/A,111.19,N/A,72.68,N/A
2020-12-18 - Plate scFv1,Experiment,Group,,A2,Experiment,None,N/A,All Events,N/A,N/A,6661,100,66.610,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-18 - Plate scFv1,Experiment,Group,,A2,Experiment,None,,R1,FSC-A,SSC-A,6448,100,64.480,96.802,96.802,585089,15716,550005,13295,522482,10032,151421.46,7575.72,25.88,48.20,86930.03,4804.37,15.81,36.14
2020-12-18 - Plate scFv1,Experiment,Group,,A2,Experiment,None,,R2,BL1-A,,254,100,2.540,3.813,3.939,11179,N/A,7945,N/A,13461,N/A,14274.93,N/A,127.69,N/A,9390.05,N/A,118.20,N/A
2020-12-18 - Plate scFv1,Experiment,Group,,A2,Experiment,None,,R1,BL1-A,,6448,100,64.480,96.802,96.802,592,N/A,145,N/A,-15,N/A,3550.66,N/A,600.12,N/A,90.44,N/A,62.37,N/A
2020-12-18 - Plate scFv1,Experiment,Group,,A3,Experiment,None,N/A,All Events,N/A,N/A,7931,100,79.310,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-18 - Plate scFv1,Experiment,Group,,A3,Experiment,None,,R1,FSC-A,SSC-A,5623,100,56.230,70.899,70.899,472602,16945,465992,15404,501671,14432,140491.41,6907.68,29.73,40.77,107610.07,5006.74,23.09,32.50
2020-12-18 - Plate scFv1,Experiment,Group,,A3,Experiment,None,,R2,BL1-A,,5499,100,54.990,69.336,97.795,8509,N/A,6964,N/A,6672,N/A,8504.04,N/A,99.94,N/A,3080.84,N/A,44.24,N/A
2020-12-18 - Plate scFv1,Experiment,Group,,A3,Experiment,None,,R1,BL1-A,,5623,100,56.230,70.899,70.899,8331,N/A,6873,N/A,6672,N/A,8493.73,N/A,101.96,N/A,3129.77,N/A,45.54,N/A
2020-12-18 - Plate scFv1,Experiment,Group,,A4,Experiment,None,N/A,All Events,N/A,N/A,7329,100,73.290,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-18 - Plate scFv1,Experiment,Group,,A4,Experiment,None,,R1,FSC-A,SSC-A,7075,100,70.750,96.534,96.534,580878,16149,543358,13633,529428,11169,159578.00,7842.68,27.47,48.56,92695.12,5175.76,17.06,37.96
2020-12-18 - Plate scFv1,Experiment,Group,,A4,Experiment,None,,R2,BL1-A,,354,100,3.540,4.830,5.004,10054,N/A,8091,N/A,13697,N/A,10109.15,N/A,100.55,N/A,8934.89,N/A,110.43,N/A
2020-12-18 - Plate scFv1,Experiment,Group,,A4,Experiment,None,,R1,BL1-A,,7075,100,70.750,96.534,96.534,668,N/A,158,N/A,-15,N/A,3123.19,N/A,467.85,N/A,97.85,N/A,61.93,N/A
2020-12-18 - Plate scFv1,Experiment,Group,,A5,Experiment,None,N/A,All Events,N/A,N/A,7398,100,73.980,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-18 - Plate scFv1,Experiment,Group,,A5,Experiment,None,,R1,FSC-A,SSC-A,7115,100,71.150,96.175,96.175,592492,16326,550946,13589,515578,11170,160434.27,8068.56,27.08,49.42,93655.84,5156.48,17.00,37.95
2020-12-18 - Plate scFv1,Experiment,Group,,A5,Experiment,None,,R2,BL1-A,,297,100,2.970,4.015,4.174,7820,N/A,4395,N/A,1045,N/A,8189.34,N/A,104.72,N/A,4830.31,N/A,109.90,N/A
2020-12-18 - Plate scFv1,Experiment,Group,,A5,Experiment,None,,R1,BL1-A,,7115,100,71.150,96.175,96.175,486,N/A,150,N/A,-14,N/A,2269.00,N/A,466.65,N/A,97.85,N/A,65.23,N/A
2020-12-18 - Plate scFv1,Experiment,Group,,A6,Experiment,None,N/A,All Events,N/A,N/A,7798,100,77.980,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-18 - Plate scFv1,Experiment,Group,,A6,Experiment,None,,R1,FSC-A,SSC-A,6495,100,64.950,83.291,83.291,477752,16731,464615,15367,462178,12951,130134.89,6595.81,27.24,39.42,103231.95,5021.57,22.22,32.68
2020-12-18 - Plate scFv1,Experiment,Group,,A6,Experiment,None,,R2,BL1-A,,5993,100,59.930,76.853,92.271,5514,N/A,4792,N/A,4161,N/A,3806.31,N/A,69.03,N/A,2077.12,N/A,43.35,N/A
2020-12-18 - Plate scFv1,Experiment,Group,,A6,Experiment,None,,R1,BL1-A,,6495,100,64.950,83.291,83.291,5110,N/A,4587,N/A,4161,N/A,3914.56,N/A,76.61,N/A,2240.21,N/A,48.84,N/A
2020-12-18 - Plate scFv1,Experiment,Group,,B1,Experiment,None,N/A,All Events,N/A,N/A,4068,100,40.680,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-18 - Plate scFv1,Experiment,Group,,B1,Experiment,None,,R1,FSC-A,SSC-A,3881,100,38.810,95.403,95.403,595015,16422,552820,13578,536477,11947,166731.22,8167.17,28.02,49.73,94220.71,5058.63,17.04,37.26
2020-12-18 - Plate scFv1,Experiment,Group,,B1,Experiment,None,,R2,BL1-A,,236,100,2.360,5.801,6.081,10587,N/A,6411,N/A,6417,N/A,10913.34,N/A,103.08,N/A,7551.62,N/A,117.79,N/A
2020-12-18 - Plate scFv1,Experiment,Group,,B1,Experiment,None,,R1,BL1-A,,3881,100,38.810,95.403,95.403,828,N/A,177,N/A,-20,N/A,3660.34,N/A,442.22,N/A,106.75,N/A,60.31,N/A
2020-12-18 - Plate scFv1,Experiment,Group,,B2,Experiment,None,N/A,All Events,N/A,N/A,6632,100,66.320,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-18 - Plate scFv1,Experiment,Group,,B2,Experiment,None,,R1,FSC-A,SSC-A,5871,100,58.710,88.525,88.525,492108,15691,482038,14171,522034,11627,138309.00,6338.68,28.11,40.40,108934.03,4529.34,22.60,31.96
2020-12-18 - Plate scFv1,Experiment,Group,,B2,Experiment,None,,R2,BL1-A,,4763,100,47.630,71.818,81.128,5891,N/A,4959,N/A,5530,N/A,5460.16,N/A,92.69,N/A,2551.55,N/A,51.45,N/A
2020-12-18 - Plate scFv1,Experiment,Group,,B2,Experiment,None,,R1,BL1-A,,5871,100,58.710,88.525,88.525,4845,N/A,4237,N/A,5530,N/A,5375.34,N/A,110.93,N/A,3292.85,N/A,77.72,N/A
2020-12-18 - Plate scFv1,Experiment,Group,,B3,Experiment,None,N/A,All Events,N/A,N/A,6668,100,66.680,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-18 - Plate scFv1,Experiment,Group,,B3,Experiment,None,,R1,FSC-A,SSC-A,6405,100,64.050,96.056,96.056,578113,16284,537835,13628,508438,10016,164335.79,7947.98,28.43,48.81,96668.48,5221.72,17.97,38.32
2020-12-18 - Plate scFv1,Experiment,Group,,B3,Experiment,None,,R2,BL1-A,,419,100,4.190,6.284,6.542,7570,N/A,4056,N/A,1005,N/A,11273.46,N/A,148.92,N/A,3930.37,N/A,96.90,N/A
2020-12-18 - Plate scFv1,Experiment,Group,,B3,Experiment,None,,R1,BL1-A,,6405,100,64.050,96.056,96.056,664,N/A,162,N/A,-16,N/A,3413.31,N/A,513.68,N/A,108.23,N/A,66.81,N/A
2020-12-18 - Plate scFv1,Experiment,Group,,B4,Experiment,None,N/A,All Events,N/A,N/A,5928,100,59.280,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-18 - Plate scFv1,Experiment,Group,,B4,Experiment,None,,R1,FSC-A,SSC-A,5786,100,57.860,97.605,97.605,565750,15855,530117,13395,508250,11030,155905.52,7496.61,27.56,47.28,89500.85,4999.33,16.88,37.32
2020-12-18 - Plate scFv1,Experiment,Group,,B4,Experiment,None,,R2,BL1-A,,213,100,2.130,3.593,3.681,10073,N/A,6948,N/A,14270,N/A,10269.81,N/A,101.96,N/A,8369.28,N/A,120.46,N/A
2020-12-18 - Plate scFv1,Experiment,Group,,B4,Experiment,None,,R1,BL1-A,,5786,100,57.860,97.605,97.605,540,N/A,160,N/A,-17,N/A,2711.63,N/A,501.95,N/A,97.85,N/A,61.16,N/A
2020-12-18 - Plate scFv1,Experiment,Group,,B5,Experiment,None,N/A,All Events,N/A,N/A,6436,100,64.360,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-18 - Plate scFv1,Experiment,Group,,B5,Experiment,None,,R1,FSC-A,SSC-A,5908,100,59.080,91.796,91.796,510480,16130,497340,14203,529368,12102,148997.15,7354.81,29.19,45.60,109504.09,5189.10,22.02,36.54
2020-12-18 - Plate scFv1,Experiment,Group,,B5,Experiment,None,,R2,BL1-A,,2851,100,28.510,44.298,48.257,5302,N/A,4244,N/A,4519,N/A,5680.20,N/A,107.14,N/A,2865.87,N/A,67.53,N/A
2020-12-18 - Plate scFv1,Experiment,Group,,B5,Experiment,None,,R1,BL1-A,,5908,100,59.080,91.796,91.796,2694,N/A,798,N/A,-14,N/A,4683.09,N/A,173.82,N/A,1064.51,N/A,133.40,N/A
