Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
2020-12-16 - Plate scFv2,Experiment,Group,,A1,Experiment,None,N/A,All Events,N/A,N/A,3999,100,39.990,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,A2,Experiment,None,N/A,All Events,N/A,N/A,4250,100,42.500,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,A3,Experiment,None,N/A,All Events,N/A,N/A,4817,100,48.170,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,A4,Experiment,None,N/A,All Events,N/A,N/A,5370,100,53.700,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,A5,Experiment,None,N/A,All Events,N/A,N/A,4741,100,47.410,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,A6,Experiment,None,N/A,All Events,N/A,N/A,4307,100,43.070,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,B1,Experiment,None,N/A,All Events,N/A,N/A,3915,100,39.150,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,B2,Experiment,None,N/A,All Events,N/A,N/A,2214,100,22.140,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,B3,Experiment,None,N/A,All Events,N/A,N/A,4739,100,47.390,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,B4,Experiment,None,N/A,All Events,N/A,N/A,4823,100,48.230,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
